respondent_id,cohort,age_band,episode,score
R0257,Private bank,30-44,Make a payment,6
R0257,Private bank,30-44,Get support,10
R0257,Private bank,30-44,Apply for credit,8
R0258,Neobank / payments app,18-29,Open an account,10
R0258,Neobank / payments app,18-29,Make a payment,10
R0258,Neobank / payments app,18-29,Get support,5
R0258,Neobank / payments app,18-29,Apply for credit,7
R0259,Private bank,45-59,Open an account,9
R0259,Private bank,45-59,Make a payment,8
R0259,Private bank,45-59,Get support,3
R0259,Private bank,45-59,Apply for credit,8
R0260,Neobank / payments app,30-44,Open an account,10
R0260,Neobank / payments app,30-44,Make a payment,10
R0260,Neobank / payments app,30-44,Get support,5
R0260,Neobank / payments app,30-44,Apply for credit,9
R0261,Public bank,18-29,Open an account,10
R0261,Public bank,18-29,Make a payment,9
R0261,Public bank,18-29,Get support,9
R0261,Public bank,18-29,Apply for credit,3
R0262,Public bank,18-29,Open an account,7
R0262,Public bank,18-29,Make a payment,7
R0262,Public bank,18-29,Get support,7
R0262,Public bank,18-29,Apply for credit,7
R0263,Public bank,45-59,Open an account,5
R0263,Public bank,45-59,Make a payment,9
R0263,Public bank,45-59,Get support,5
R0263,Public bank,45-59,Apply for credit,7
R0264,Neobank / payments app,45-59,Open an account,9
R0264,Neobank / payments app,45-59,Make a payment,8
R0264,Neobank / payments app,45-59,Get support,4
R0264,Neobank / payments app,45-59,Apply for credit,8
R0265,Public bank,45-59,Open an account,6
R0265,Public bank,45-59,Make a payment,7
R0265,Public bank,45-59,Get support,6
R0265,Public bank,45-59,Apply for credit,3
R0266,Private bank,60+,Open an account,9
R0266,Private bank,60+,Make a payment,10
R0266,Private bank,60+,Get support,8
R0266,Private bank,60+,Apply for credit,8
R0267,Neobank / payments app,18-29,Open an account,7
R0267,Neobank / payments app,18-29,Make a payment,8
R0267,Neobank / payments app,18-29,Get support,6
R0267,Neobank / payments app,18-29,Apply for credit,7
R0268,Neobank / payments app,45-59,Open an account,6
R0268,Neobank / payments app,45-59,Make a payment,8
R0268,Neobank / payments app,45-59,Get support,6
R0268,Neobank / payments app,45-59,Apply for credit,4
R0269,Public bank,60+,Open an account,5
R0269,Public bank,60+,Make a payment,9
R0269,Public bank,60+,Get support,6
R0269,Public bank,60+,Apply for credit,9
R0270,Neobank / payments app,45-59,Open an account,10
R0270,Neobank / payments app,45-59,Make a payment,10
R0270,Neobank / payments app,45-59,Get support,7
R0270,Neobank / payments app,45-59,Apply for credit,10
R0271,Private bank,18-29,Open an account,7
R0271,Private bank,18-29,Make a payment,9
R0271,Private bank,18-29,Get support,9
R0271,Private bank,18-29,Apply for credit,5
R0272,Neobank / payments app,18-29,Open an account,6
R0272,Neobank / payments app,18-29,Make a payment,8
R0272,Neobank / payments app,18-29,Get support,9
R0272,Neobank / payments app,18-29,Apply for credit,10
R0273,Private bank,60+,Open an account,7
R0273,Private bank,60+,Make a payment,7
R0273,Private bank,60+,Get support,5
R0273,Private bank,60+,Apply for credit,7
R0274,Public bank,18-29,Open an account,7
R0274,Public bank,18-29,Make a payment,8
R0274,Public bank,18-29,Get support,3
R0274,Public bank,18-29,Apply for credit,7
R0275,Private bank,18-29,Open an account,6
R0275,Private bank,18-29,Make a payment,8
R0275,Private bank,18-29,Get support,8
R0275,Private bank,18-29,Apply for credit,5
R0276,Neobank / payments app,60+,Open an account,9
R0276,Neobank / payments app,60+,Make a payment,8
R0276,Neobank / payments app,60+,Get support,5
R0276,Neobank / payments app,60+,Apply for credit,9
R0277,Private bank,45-59,Open an account,6
R0277,Private bank,45-59,Make a payment,9
R0277,Private bank,45-59,Get support,3
R0277,Private bank,45-59,Apply for credit,10
R0278,Neobank / payments app,18-29,Open an account,8
R0278,Neobank / payments app,18-29,Make a payment,7
R0278,Neobank / payments app,18-29,Get support,10
R0278,Neobank / payments app,18-29,Apply for credit,8
R0279,Neobank / payments app,18-29,Open an account,10
R0279,Neobank / payments app,18-29,Make a payment,10
R0279,Neobank / payments app,18-29,Get support,6
R0279,Neobank / payments app,18-29,Apply for credit,8
R0280,Private bank,30-44,Open an account,9
R0280,Private bank,30-44,Make a payment,8
R0280,Private bank,30-44,Get support,9
R0280,Private bank,30-44,Apply for credit,10
R0281,Private bank,30-44,Open an account,8
R0281,Private bank,30-44,Make a payment,7
R0281,Private bank,30-44,Get support,9
R0281,Private bank,30-44,Apply for credit,6
R0282,Private bank,30-44,Open an account,5
R0282,Private bank,30-44,Make a payment,10
R0282,Private bank,30-44,Get support,7
R0282,Private bank,30-44,Apply for credit,10
R0283,Neobank / payments app,45-59,Open an account,10
R0283,Neobank / payments app,45-59,Make a payment,5
R0283,Neobank / payments app,45-59,Get support,4
R0283,Neobank / payments app,45-59,Apply for credit,7
R0284,Neobank / payments app,18-29,Open an account,9
R0284,Neobank / payments app,18-29,Make a payment,10
R0284,Neobank / payments app,18-29,Get support,6
R0284,Neobank / payments app,18-29,Apply for credit,9
R0285,Private bank,30-44,Open an account,6
R0285,Private bank,30-44,Make a payment,8
R0285,Private bank,30-44,Get support,8
R0285,Private bank,30-44,Apply for credit,7
R0286,Public bank,18-29,Open an account,1
R0286,Public bank,18-29,Make a payment,7
R0286,Public bank,18-29,Get support,6
R0286,Public bank,18-29,Apply for credit,5
R0287,Public bank,18-29,Open an account,7
R0287,Public bank,18-29,Make a payment,6
R0287,Public bank,18-29,Get support,5
R0287,Public bank,18-29,Apply for credit,1
R0288,Private bank,30-44,Open an account,6
R0288,Private bank,30-44,Make a payment,7
R0288,Private bank,30-44,Get support,5
R0288,Private bank,30-44,Apply for credit,9
R0289,Neobank / payments app,30-44,Open an account,7
R0289,Neobank / payments app,30-44,Make a payment,9
R0289,Neobank / payments app,30-44,Get support,8
R0289,Neobank / payments app,30-44,Apply for credit,3
R0290,Private bank,18-29,Open an account,7
R0290,Private bank,18-29,Make a payment,8
R0290,Private bank,18-29,Get support,7
R0290,Private bank,18-29,Apply for credit,9
R0291,Private bank,30-44,Open an account,8
R0291,Private bank,30-44,Make a payment,8
R0291,Private bank,30-44,Get support,9
R0291,Private bank,30-44,Apply for credit,7
R0292,Neobank / payments app,18-29,Open an account,10
R0292,Neobank / payments app,18-29,Make a payment,10
R0292,Neobank / payments app,18-29,Get support,9
R0292,Neobank / payments app,18-29,Apply for credit,7
R0293,Private bank,45-59,Open an account,10
R0293,Private bank,45-59,Make a payment,9
R0293,Private bank,45-59,Get support,6
R0293,Private bank,45-59,Apply for credit,8
R0294,Neobank / payments app,18-29,Open an account,10
R0294,Neobank / payments app,18-29,Make a payment,6
R0294,Neobank / payments app,18-29,Get support,6
R0294,Neobank / payments app,18-29,Apply for credit,9
R0295,Public bank,60+,Open an account,6
R0295,Public bank,60+,Make a payment,6
R0295,Public bank,60+,Get support,3
R0295,Public bank,60+,Apply for credit,4
R0296,Private bank,18-29,Open an account,10
R0296,Private bank,18-29,Make a payment,7
R0296,Private bank,18-29,Get support,10
R0296,Private bank,18-29,Apply for credit,8
R0297,Private bank,30-44,Open an account,4
R0297,Private bank,30-44,Make a payment,9
R0297,Private bank,30-44,Get support,8
R0297,Private bank,30-44,Apply for credit,9
R0298,Public bank,18-29,Open an account,10
R0298,Public bank,18-29,Make a payment,8
R0298,Public bank,18-29,Get support,8
R0298,Public bank,18-29,Apply for credit,6
R0299,Private bank,30-44,Open an account,8
R0299,Private bank,30-44,Make a payment,6
R0299,Private bank,30-44,Get support,7
R0299,Private bank,30-44,Apply for credit,5
R0300,Private bank,30-44,Open an account,8
R0300,Private bank,30-44,Make a payment,6
R0300,Private bank,30-44,Get support,8
R0300,Private bank,30-44,Apply for credit,10
R0301,Private bank,45-59,Open an account,7
R0301,Private bank,45-59,Make a payment,10
R0301,Private bank,45-59,Get support,8
R0301,Private bank,45-59,Apply for credit,7
R0302,Public bank,18-29,Open an account,4
R0302,Public bank,18-29,Make a payment,4
R0302,Public bank,18-29,Get support,5
R0302,Public bank,18-29,Apply for credit,5
R0303,Neobank / payments app,30-44,Open an account,8
R0303,Neobank / payments app,30-44,Make a payment,9
R0303,Neobank / payments app,30-44,Get support,7
R0303,Neobank / payments app,30-44,Apply for credit,7
R0304,Private bank,18-29,Open an account,6
R0304,Private bank,18-29,Make a payment,10
R0304,Private bank,18-29,Get support,9
R0304,Private bank,18-29,Apply for credit,4
R0305,Public bank,30-44,Open an account,9
R0305,Public bank,30-44,Make a payment,8
R0305,Public bank,30-44,Get support,8
R0305,Public bank,30-44,Apply for credit,6
R0306,Neobank / payments app,60+,Open an account,9
R0306,Neobank / payments app,60+,Make a payment,10
R0306,Neobank / payments app,60+,Get support,8
R0306,Neobank / payments app,60+,Apply for credit,8
R0307,Public bank,45-59,Open an account,6
R0307,Public bank,45-59,Make a payment,8
R0307,Public bank,45-59,Get support,7
R0307,Public bank,45-59,Apply for credit,6
R0308,Private bank,60+,Open an account,8
R0308,Private bank,60+,Make a payment,6
R0308,Private bank,60+,Get support,7
R0308,Private bank,60+,Apply for credit,9
R0309,Public bank,18-29,Open an account,7
R0309,Public bank,18-29,Make a payment,7
R0309,Public bank,18-29,Get support,5
R0309,Public bank,18-29,Apply for credit,8
R0310,Private bank,30-44,Open an account,6
R0310,Private bank,30-44,Make a payment,6
R0310,Private bank,30-44,Get support,10
R0310,Private bank,30-44,Apply for credit,8
R0311,Private bank,30-44,Open an account,7
R0311,Private bank,30-44,Make a payment,8
R0311,Private bank,30-44,Get support,8
R0311,Private bank,30-44,Apply for credit,6
R0312,Private bank,30-44,Open an account,8
R0312,Private bank,30-44,Make a payment,8
R0312,Private bank,30-44,Get support,7
R0312,Private bank,30-44,Apply for credit,10
R0313,Public bank,18-29,Open an account,5
R0313,Public bank,18-29,Make a payment,10
R0313,Public bank,18-29,Get support,5
R0313,Public bank,18-29,Apply for credit,8
R0314,Neobank / payments app,30-44,Open an account,10
R0314,Neobank / payments app,30-44,Make a payment,7
R0314,Neobank / payments app,30-44,Get support,7
R0314,Neobank / payments app,30-44,Apply for credit,10
R0315,Private bank,30-44,Open an account,7
R0315,Private bank,30-44,Make a payment,7
R0315,Private bank,30-44,Get support,6
R0315,Private bank,30-44,Apply for credit,7
R0316,Public bank,30-44,Open an account,8
R0316,Public bank,30-44,Make a payment,10
R0316,Public bank,30-44,Get support,7
R0316,Public bank,30-44,Apply for credit,10
R0317,Private bank,30-44,Open an account,4
R0317,Private bank,30-44,Make a payment,7
R0317,Private bank,30-44,Get support,8
R0317,Private bank,30-44,Apply for credit,6
R0318,Neobank / payments app,18-29,Open an account,9
R0318,Neobank / payments app,18-29,Make a payment,9
R0318,Neobank / payments app,18-29,Get support,5
R0318,Neobank / payments app,18-29,Apply for credit,10
R0319,Private bank,30-44,Open an account,7
R0319,Private bank,30-44,Make a payment,6
R0319,Private bank,30-44,Get support,6
R0319,Private bank,30-44,Apply for credit,8
R0320,Neobank / payments app,30-44,Open an account,8
R0320,Neobank / payments app,30-44,Make a payment,10
R0320,Neobank / payments app,30-44,Get support,3
R0320,Neobank / payments app,30-44,Apply for credit,10
R0321,Public bank,18-29,Open an account,6
R0321,Public bank,18-29,Make a payment,9
R0321,Public bank,18-29,Get support,8
R0321,Public bank,18-29,Apply for credit,4
R0322,Neobank / payments app,60+,Open an account,4
R0322,Neobank / payments app,60+,Make a payment,8
R0322,Neobank / payments app,60+,Get support,3
R0322,Neobank / payments app,60+,Apply for credit,5
R0323,Public bank,18-29,Open an account,5
R0323,Public bank,18-29,Make a payment,8
R0323,Public bank,18-29,Get support,6
R0323,Public bank,18-29,Apply for credit,5
R0324,Private bank,30-44,Open an account,9
R0324,Private bank,30-44,Make a payment,6
R0324,Private bank,30-44,Get support,7
R0324,Private bank,30-44,Apply for credit,7
R0325,Private bank,30-44,Open an account,8
R0325,Private bank,30-44,Make a payment,5
R0325,Private bank,30-44,Get support,7
R0325,Private bank,30-44,Apply for credit,7
R0326,Private bank,45-59,Open an account,10
R0326,Private bank,45-59,Make a payment,8
R0326,Private bank,45-59,Get support,8
R0326,Private bank,45-59,Apply for credit,10
R0327,Neobank / payments app,18-29,Open an account,8
R0327,Neobank / payments app,18-29,Make a payment,10
R0327,Neobank / payments app,18-29,Get support,10
R0327,Neobank / payments app,18-29,Apply for credit,9
R0328,Neobank / payments app,18-29,Open an account,8
R0328,Neobank / payments app,18-29,Make a payment,10
R0328,Neobank / payments app,18-29,Get support,9
R0328,Neobank / payments app,18-29,Apply for credit,9
R0329,Private bank,30-44,Open an account,7
R0329,Private bank,30-44,Make a payment,8
R0329,Private bank,30-44,Get support,5
R0329,Private bank,30-44,Apply for credit,5
R0330,Private bank,30-44,Open an account,5
R0330,Private bank,30-44,Make a payment,8
R0330,Private bank,30-44,Get support,6
R0330,Private bank,30-44,Apply for credit,6
R0331,Private bank,18-29,Open an account,7
R0331,Private bank,18-29,Make a payment,7
R0331,Private bank,18-29,Get support,5
R0331,Private bank,18-29,Apply for credit,7
R0332,Neobank / payments app,18-29,Open an account,8
R0332,Neobank / payments app,18-29,Make a payment,7
R0332,Neobank / payments app,18-29,Get support,9
R0332,Neobank / payments app,18-29,Apply for credit,7
R0333,Neobank / payments app,30-44,Open an account,9
R0333,Neobank / payments app,30-44,Make a payment,8
R0333,Neobank / payments app,30-44,Get support,4
R0333,Neobank / payments app,30-44,Apply for credit,9
R0334,Public bank,30-44,Open an account,9
R0334,Public bank,30-44,Make a payment,4
R0334,Public bank,30-44,Get support,7
R0334,Public bank,30-44,Apply for credit,9
R0335,Private bank,30-44,Open an account,9
R0335,Private bank,30-44,Make a payment,7
R0335,Private bank,30-44,Get support,10
R0335,Private bank,30-44,Apply for credit,6
R0336,Private bank,18-29,Open an account,10
R0336,Private bank,18-29,Make a payment,5
R0336,Private bank,18-29,Get support,6
R0336,Private bank,18-29,Apply for credit,6
R0337,Neobank / payments app,18-29,Open an account,8
R0337,Neobank / payments app,18-29,Make a payment,10
R0337,Neobank / payments app,18-29,Get support,7
R0337,Neobank / payments app,18-29,Apply for credit,7
R0338,Private bank,45-59,Open an account,8
R0338,Private bank,45-59,Make a payment,9
R0338,Private bank,45-59,Get support,8
R0338,Private bank,45-59,Apply for credit,10
R0339,Private bank,30-44,Open an account,9
R0339,Private bank,30-44,Make a payment,10
R0339,Private bank,30-44,Get support,8
R0339,Private bank,30-44,Apply for credit,5
R0340,Private bank,30-44,Open an account,7
R0340,Private bank,30-44,Make a payment,7
R0340,Private bank,30-44,Get support,5
R0340,Private bank,30-44,Apply for credit,5
R0341,Private bank,45-59,Open an account,10
R0341,Private bank,45-59,Make a payment,9
R0341,Private bank,45-59,Get support,4
R0341,Private bank,45-59,Apply for credit,6
R0342,Neobank / payments app,18-29,Open an account,10
R0342,Neobank / payments app,18-29,Make a payment,10
R0342,Neobank / payments app,18-29,Get support,6
R0342,Neobank / payments app,18-29,Apply for credit,10
R0343,Private bank,18-29,Open an account,6
R0343,Private bank,18-29,Make a payment,7
R0343,Private bank,18-29,Get support,5
R0343,Private bank,18-29,Apply for credit,7
R0344,Public bank,18-29,Open an account,4
R0344,Public bank,18-29,Make a payment,7
R0344,Public bank,18-29,Get support,8
R0344,Public bank,18-29,Apply for credit,9
R0345,Private bank,18-29,Open an account,9
R0345,Private bank,18-29,Make a payment,6
R0345,Private bank,18-29,Get support,8
R0345,Private bank,18-29,Apply for credit,7
R0346,Neobank / payments app,30-44,Open an account,9
R0346,Neobank / payments app,30-44,Make a payment,7
R0346,Neobank / payments app,30-44,Get support,4
R0346,Neobank / payments app,30-44,Apply for credit,8
R0347,Private bank,18-29,Open an account,7
R0347,Private bank,18-29,Make a payment,7
R0347,Private bank,18-29,Get support,10
R0347,Private bank,18-29,Apply for credit,7
R0348,Private bank,30-44,Open an account,7
R0348,Private bank,30-44,Make a payment,9
R0348,Private bank,30-44,Get support,9
R0348,Private bank,30-44,Apply for credit,8
R0349,Neobank / payments app,18-29,Open an account,8
R0349,Neobank / payments app,18-29,Make a payment,8
R0349,Neobank / payments app,18-29,Get support,6
R0349,Neobank / payments app,18-29,Apply for credit,8
R0350,Neobank / payments app,45-59,Open an account,10
R0350,Neobank / payments app,45-59,Make a payment,10
R0350,Neobank / payments app,45-59,Get support,7
R0350,Neobank / payments app,45-59,Apply for credit,5
R0351,Public bank,18-29,Open an account,7
R0351,Public bank,18-29,Make a payment,6
R0351,Public bank,18-29,Get support,5
R0351,Public bank,18-29,Apply for credit,6
R0352,Public bank,45-59,Open an account,6
R0352,Public bank,45-59,Make a payment,7
R0352,Public bank,45-59,Get support,4
R0352,Public bank,45-59,Apply for credit,5
R0353,Private bank,30-44,Open an account,4
R0353,Private bank,30-44,Make a payment,9
R0353,Private bank,30-44,Get support,7
R0353,Private bank,30-44,Apply for credit,9
R0354,Private bank,18-29,Open an account,8
R0354,Private bank,18-29,Make a payment,7
R0354,Private bank,18-29,Get support,4
R0354,Private bank,18-29,Apply for credit,7
R0355,Private bank,18-29,Open an account,9
R0355,Private bank,18-29,Make a payment,10
R0355,Private bank,18-29,Get support,7
R0355,Private bank,18-29,Apply for credit,7
R0356,Neobank / payments app,18-29,Open an account,6
R0356,Neobank / payments app,18-29,Make a payment,8
R0356,Neobank / payments app,18-29,Get support,10
R0356,Neobank / payments app,18-29,Apply for credit,6
R0357,Private bank,60+,Open an account,9
R0357,Private bank,60+,Make a payment,10
R0357,Private bank,60+,Get support,7
R0357,Private bank,60+,Apply for credit,9
R0358,Neobank / payments app,45-59,Open an account,8
R0358,Neobank / payments app,45-59,Make a payment,9
R0358,Neobank / payments app,45-59,Get support,4
R0358,Neobank / payments app,45-59,Apply for credit,7
R0359,Neobank / payments app,30-44,Open an account,9
R0359,Neobank / payments app,30-44,Make a payment,10
R0359,Neobank / payments app,30-44,Get support,7
R0359,Neobank / payments app,30-44,Apply for credit,9
R0360,Neobank / payments app,30-44,Open an account,10
R0360,Neobank / payments app,30-44,Make a payment,10
R0360,Neobank / payments app,30-44,Get support,5
R0360,Neobank / payments app,30-44,Apply for credit,5
R0361,Public bank,30-44,Open an account,4
R0361,Public bank,30-44,Make a payment,6
R0361,Public bank,30-44,Get support,5
R0361,Public bank,30-44,Apply for credit,6
R0362,Private bank,18-29,Open an account,9
R0362,Private bank,18-29,Make a payment,9
R0362,Private bank,18-29,Get support,9
R0362,Private bank,18-29,Apply for credit,7
R0363,Neobank / payments app,18-29,Open an account,9
R0363,Neobank / payments app,18-29,Make a payment,10
R0363,Neobank / payments app,18-29,Get support,8
R0363,Neobank / payments app,18-29,Apply for credit,6
R0364,Neobank / payments app,30-44,Open an account,8
R0364,Neobank / payments app,30-44,Make a payment,9
R0364,Neobank / payments app,30-44,Get support,9
R0364,Neobank / payments app,30-44,Apply for credit,5
R0365,Private bank,18-29,Open an account,9
R0365,Private bank,18-29,Make a payment,7
R0365,Private bank,18-29,Get support,10
R0365,Private bank,18-29,Apply for credit,10
R0366,Private bank,30-44,Open an account,9
R0366,Private bank,30-44,Make a payment,6
R0366,Private bank,30-44,Get support,8
R0366,Private bank,30-44,Apply for credit,9
R0367,Private bank,45-59,Open an account,8
R0367,Private bank,45-59,Make a payment,10
R0367,Private bank,45-59,Get support,8
R0367,Private bank,45-59,Apply for credit,8
R0368,Private bank,30-44,Open an account,8
R0368,Private bank,30-44,Make a payment,8
R0368,Private bank,30-44,Get support,4
R0368,Private bank,30-44,Apply for credit,9
R0369,Private bank,30-44,Open an account,10
R0369,Private bank,30-44,Make a payment,9
R0369,Private bank,30-44,Get support,5
R0369,Private bank,30-44,Apply for credit,5
R0370,Public bank,45-59,Open an account,4
R0370,Public bank,45-59,Make a payment,4
R0370,Public bank,45-59,Get support,4
R0370,Public bank,45-59,Apply for credit,1
R0371,Neobank / payments app,45-59,Open an account,10
R0371,Neobank / payments app,45-59,Make a payment,8
R0371,Neobank / payments app,45-59,Get support,6
R0371,Neobank / payments app,45-59,Apply for credit,8
R0372,Private bank,18-29,Open an account,7
R0372,Private bank,18-29,Make a payment,7
R0372,Private bank,18-29,Get support,7
R0372,Private bank,18-29,Apply for credit,7
R0373,Private bank,18-29,Open an account,5
R0373,Private bank,18-29,Make a payment,8
R0373,Private bank,18-29,Get support,7
R0373,Private bank,18-29,Apply for credit,6
R0374,Neobank / payments app,18-29,Open an account,10
R0374,Neobank / payments app,18-29,Make a payment,9
R0374,Neobank / payments app,18-29,Get support,7
R0374,Neobank / payments app,18-29,Apply for credit,7
R0375,Neobank / payments app,45-59,Open an account,8
R0375,Neobank / payments app,45-59,Make a payment,7
R0375,Neobank / payments app,45-59,Get support,9
R0375,Neobank / payments app,45-59,Apply for credit,9
R0376,Neobank / payments app,30-44,Open an account,8
R0376,Neobank / payments app,30-44,Make a payment,9
R0376,Neobank / payments app,30-44,Get support,5
R0376,Neobank / payments app,30-44,Apply for credit,7
R0377,Private bank,18-29,Open an account,9
R0377,Private bank,18-29,Make a payment,10
R0377,Private bank,18-29,Get support,9
R0377,Private bank,18-29,Apply for credit,8
R0378,Public bank,30-44,Open an account,5
R0378,Public bank,30-44,Make a payment,9
R0378,Public bank,30-44,Get support,7
R0378,Public bank,30-44,Apply for credit,2
R0379,Private bank,45-59,Open an account,10
R0379,Private bank,45-59,Make a payment,8
R0379,Private bank,45-59,Get support,7
R0379,Private bank,45-59,Apply for credit,8
R0380,Neobank / payments app,18-29,Open an account,6
R0380,Neobank / payments app,18-29,Make a payment,9
R0380,Neobank / payments app,18-29,Get support,7
R0380,Neobank / payments app,18-29,Apply for credit,8
R0381,Neobank / payments app,30-44,Open an account,10
R0381,Neobank / payments app,30-44,Make a payment,6
R0381,Neobank / payments app,30-44,Get support,6
R0381,Neobank / payments app,30-44,Apply for credit,7
R0382,Private bank,18-29,Open an account,2
R0382,Private bank,18-29,Make a payment,10
R0382,Private bank,18-29,Get support,10
R0382,Private bank,18-29,Apply for credit,10
R0383,Neobank / payments app,18-29,Open an account,6
R0383,Neobank / payments app,18-29,Make a payment,9
R0383,Neobank / payments app,18-29,Get support,7
R0383,Neobank / payments app,18-29,Apply for credit,7
R0384,Neobank / payments app,30-44,Open an account,10
R0384,Neobank / payments app,30-44,Make a payment,9
R0384,Neobank / payments app,30-44,Get support,6
R0384,Neobank / payments app,30-44,Apply for credit,9
R0385,Public bank,18-29,Open an account,8
R0385,Public bank,18-29,Make a payment,7
R0385,Public bank,18-29,Get support,9
R0385,Public bank,18-29,Apply for credit,7
R0386,Neobank / payments app,45-59,Open an account,10
R0386,Neobank / payments app,45-59,Make a payment,10
R0386,Neobank / payments app,45-59,Get support,9
R0386,Neobank / payments app,45-59,Apply for credit,5
R0387,Public bank,45-59,Open an account,7
R0387,Public bank,45-59,Make a payment,8
R0387,Public bank,45-59,Get support,9
R0387,Public bank,45-59,Apply for credit,5
R0388,Neobank / payments app,45-59,Open an account,8
R0388,Neobank / payments app,45-59,Make a payment,10
R0388,Neobank / payments app,45-59,Get support,1
R0388,Neobank / payments app,45-59,Apply for credit,4
R0389,Neobank / payments app,18-29,Open an account,9
R0389,Neobank / payments app,18-29,Make a payment,10
R0389,Neobank / payments app,18-29,Get support,5
R0389,Neobank / payments app,18-29,Apply for credit,8
R0390,Neobank / payments app,45-59,Open an account,9
R0390,Neobank / payments app,45-59,Make a payment,6
R0390,Neobank / payments app,45-59,Get support,3
R0390,Neobank / payments app,45-59,Apply for credit,8
R0391,Neobank / payments app,30-44,Open an account,9
R0391,Neobank / payments app,30-44,Make a payment,8
R0391,Neobank / payments app,30-44,Get support,5
R0391,Neobank / payments app,30-44,Apply for credit,10
R0392,Neobank / payments app,18-29,Open an account,9
R0392,Neobank / payments app,18-29,Make a payment,10
R0392,Neobank / payments app,18-29,Get support,7
R0392,Neobank / payments app,18-29,Apply for credit,6
R0393,Public bank,45-59,Open an account,2
R0393,Public bank,45-59,Make a payment,8
R0393,Public bank,45-59,Get support,7
R0393,Public bank,45-59,Apply for credit,4
R0394,Neobank / payments app,18-29,Open an account,10
R0394,Neobank / payments app,18-29,Make a payment,7
R0394,Neobank / payments app,18-29,Get support,5
R0394,Neobank / payments app,18-29,Apply for credit,10
R0395,Public bank,30-44,Open an account,7
R0395,Public bank,30-44,Make a payment,8
R0395,Public bank,30-44,Get support,2
R0395,Public bank,30-44,Apply for credit,10
R0396,Neobank / payments app,45-59,Open an account,10
R0396,Neobank / payments app,45-59,Make a payment,10
R0396,Neobank / payments app,45-59,Get support,6
R0396,Neobank / payments app,45-59,Apply for credit,8
R0397,Neobank / payments app,18-29,Open an account,7
R0397,Neobank / payments app,18-29,Make a payment,6
R0397,Neobank / payments app,18-29,Get support,6
R0397,Neobank / payments app,18-29,Apply for credit,7
R0398,Public bank,18-29,Open an account,7
R0398,Public bank,18-29,Make a payment,7
R0398,Public bank,18-29,Get support,6
R0398,Public bank,18-29,Apply for credit,4
R0399,Neobank / payments app,30-44,Open an account,10
R0399,Neobank / payments app,30-44,Make a payment,9
R0399,Neobank / payments app,30-44,Get support,7
R0399,Neobank / payments app,30-44,Apply for credit,6
R0400,Private bank,30-44,Open an account,8
R0400,Private bank,30-44,Make a payment,7
R0400,Private bank,30-44,Get support,3
R0400,Private bank,30-44,Apply for credit,6
R0401,Neobank / payments app,30-44,Open an account,10
R0401,Neobank / payments app,30-44,Make a payment,7
R0401,Neobank / payments app,30-44,Get support,6
R0401,Neobank / payments app,30-44,Apply for credit,5
R0402,Private bank,45-59,Open an account,10
R0402,Private bank,45-59,Make a payment,7
R0402,Private bank,45-59,Get support,7
R0402,Private bank,45-59,Apply for credit,6
R0403,Public bank,18-29,Open an account,8
R0403,Public bank,18-29,Make a payment,7
R0403,Public bank,18-29,Get support,5
R0403,Public bank,18-29,Apply for credit,6
R0404,Neobank / payments app,45-59,Open an account,7
R0404,Neobank / payments app,45-59,Make a payment,10
R0404,Neobank / payments app,45-59,Get support,8
R0404,Neobank / payments app,45-59,Apply for credit,7
R0405,Private bank,60+,Open an account,10
R0405,Private bank,60+,Make a payment,10
R0405,Private bank,60+,Get support,9
R0405,Private bank,60+,Apply for credit,7
R0406,Private bank,30-44,Open an account,6
R0406,Private bank,30-44,Make a payment,10
R0406,Private bank,30-44,Get support,7
R0406,Private bank,30-44,Apply for credit,9
R0407,Neobank / payments app,18-29,Open an account,7
R0407,Neobank / payments app,18-29,Make a payment,10
R0407,Neobank / payments app,18-29,Get support,2
R0407,Neobank / payments app,18-29,Apply for credit,8
R0408,Private bank,30-44,Open an account,9
R0408,Private bank,30-44,Make a payment,10
R0408,Private bank,30-44,Get support,8
R0408,Private bank,30-44,Apply for credit,10
R0409,Private bank,18-29,Open an account,10
R0409,Private bank,18-29,Make a payment,3
R0409,Private bank,18-29,Get support,6
R0409,Private bank,18-29,Apply for credit,5
R0410,Public bank,30-44,Open an account,7
R0410,Public bank,30-44,Make a payment,8
R0410,Public bank,30-44,Get support,7
R0410,Public bank,30-44,Apply for credit,7
R0411,Neobank / payments app,18-29,Open an account,10
R0411,Neobank / payments app,18-29,Make a payment,7
R0411,Neobank / payments app,18-29,Get support,7
R0411,Neobank / payments app,18-29,Apply for credit,7
R0412,Neobank / payments app,18-29,Open an account,8
R0412,Neobank / payments app,18-29,Make a payment,10
R0412,Neobank / payments app,18-29,Get support,8
R0412,Neobank / payments app,18-29,Apply for credit,10
R0413,Private bank,30-44,Open an account,8
R0413,Private bank,30-44,Make a payment,8
R0413,Private bank,30-44,Get support,10
R0413,Private bank,30-44,Apply for credit,7
R0414,Public bank,30-44,Open an account,10
R0414,Public bank,30-44,Make a payment,5
R0414,Public bank,30-44,Get support,10
R0414,Public bank,30-44,Apply for credit,6
R0415,Private bank,45-59,Open an account,7
R0415,Private bank,45-59,Make a payment,8
R0415,Private bank,45-59,Get support,9
R0415,Private bank,45-59,Apply for credit,5
R0416,Public bank,30-44,Open an account,9
R0416,Public bank,30-44,Make a payment,6
